term,id,loan_amnt,home_ownership,emp_length,annual_inc,loan_status,purpose,dti,revol_util,total_rec_late_fee,grade
 36 months,1077501,5000,RENT,10,24000,Fully Paid,credit_card,27.65,83.70%,0,A
 60 months,1077430,2500,RENT,1,30000,Charged Off,car,1,9.40%,0,A
 36 months,1077175,2400,RENT,10,12252,Fully Paid,small_business,8.72,98.50%,0,A
 36 months,1076863,10000,RENT,10,49200,Fully Paid,other,20,21%,16.97,A
 60 months,1075358,3000,RENT,1,80000,Current,other,17.94,53.90%,0,B
 36 months,1075269,5000,RENT,3,36000,Fully Paid,wedding,11.2,28.30%,0,B
 60 months,1069639,7000,RENT,8,47004,Fully Paid,debt_consolidation,23.51,85.60%,0,A
 36 months,1072053,3000,RENT,9,48000,Fully Paid,car,5.35,87.50%,0,B
 60 months,1071795,5600,OWN,4,40000,Charged Off,small_business,5.55,32.60%,0,A
 60 months,1071570,5375,RENT,1,15000,Charged Off,other,18.08,36.50%,0,B
 60 months,1070078,6500,OWN,5,72000,Fully Paid,debt_consolidation,16.12,20.60%,0,B
 36 months,1069908,12000,OWN,10,75000,Fully Paid,debt_consolidation,10.78,67.10%,0,B
 36 months,1064687,9000,RENT,1,30000,Charged Off,debt_consolidation,10.08,91.70%,0,A
 36 months,1069866,3000,RENT,3,15000,Fully Paid,credit_card,12.56,43.10%,0,B
 36 months,1069057,10000,RENT,3,1.00E+05,Charged Off,other,7.06,55.50%,0,B
 36 months,1069759,1000,RENT,1,28000,Fully Paid,debt_consolidation,20.31,81.50%,0,A
 36 months,1065775,10000,RENT,4,42000,Fully Paid,home_improvement,18.6,70.20%,0,B
 36 months,1069971,3600,MORTGAGE,10,110000,Fully Paid,major_purchase,10.52,16%,0,A
 36 months,1062474,6000,MORTGAGE,1,84000,Fully Paid,medical,18.44,37.73%,15.00000003,A
 36 months,1069742,9200,RENT,6,77385.19,Fully Paid,debt_consolidation,9.86,23.10%,0,A
 60 months,1069740,20250,RENT,3,43370,Fully Paid,debt_consolidation,26.53,85.60%,0,A
 36 months,1039153,21000,RENT,10,105000,Charged Off,debt_consolidation,13.22,90.30%,0,A
 36 months,1069710,10000,OWN,10,50000,Fully Paid,credit_card,11.18,82.40%,0,B
 36 months,1069700,10000,RENT,5,50000,Fully Paid,debt_consolidation,16.01,91.80%,0,B
 36 months,1069559,6000,RENT,1,76000,Charged Off,major_purchase,2.4,29.70%,0,A
 36 months,1069697,15000,MORTGAGE,2,92000,Fully Paid,credit_card,29.44,93.90%,0,B
 36 months,1069800,15000,RENT,9,60000,Charged Off,debt_consolidation,15.22,57.60%,0,B
 60 months,1069657,5000,RENT,2,50004,Charged Off,other,13.97,59.50%,0,B
 36 months,1069799,4000,MORTGAGE,10,106000,Fully Paid,debt_consolidation,5.63,37.70%,0,A
 36 months,1047704,8500,RENT,1,25000,Fully Paid,credit_card,12.19,59.10%,0,A
 36 months,1032111,4375,MORTGAGE,7,17108,Fully Paid,debt_consolidation,20.34,86.90%,0,A
 36 months,1069539,31825,MORTGAGE,5,75000,Fully Paid,debt_consolidation,14.03,27.40%,0,A
 60 months,1065420,10000,RENT,2,29120,Current,debt_consolidation,22.83,63.60%,0,B
 36 months,1069591,5000,RENT,2,24044,Fully Paid,debt_consolidation,11.93,29.30%,0,A
 36 months,1069530,7000,RENT,7,34000,Fully Paid,credit_card,6.35,60.50%,0,B
 36 months,1069522,12400,RENT,10,41000,Fully Paid,credit_card,11.8,57.20%,0,A
 36 months,1069361,10800,RENT,2,55596,Fully Paid,moving,5.5,13.30%,0,A
 36 months,1069357,15000,RENT,1,45000,Fully Paid,debt_consolidation,8.48,50.40%,0,A
 36 months,1069356,6000,RENT,1,36852,Fully Paid,debt_consolidation,10.62,66.50%,0,A
 60 months,1069346,12500,RENT,1,27000,Current,debt_consolidation,16.04,50%,0,A
 36 months,1067573,9600,RENT,4,68004,Fully Paid,other,6.63,18.10%,0,A
 36 months,1069506,12000,RENT,10,62300,Fully Paid,debt_consolidation,16.7,21%,0,A
 36 months,1069314,3000,MORTGAGE,9,65000,Fully Paid,other,17.39,98.10%,0,B
 36 months,1060578,4400,RENT,10,55000,Fully Paid,debt_consolidation,20.01,99%,0,B
 36 months,1069469,6000,MORTGAGE,10,45600,Fully Paid,debt_consolidation,5.34,32.50%,0,A
 36 months,1051117,14000,RENT,6,80000,Fully Paid,small_business,10,13.40%,0,A
 36 months,1069465,5000,MORTGAGE,10,1.00E+05,Charged Off,debt_consolidation,16.33,62.10%,0,A
 36 months,1069283,10000,RENT,6,27000,Fully Paid,other,11.47,52.30%,0,A
 36 months,1069287,10000,RENT,10,60000,Fully Paid,credit_card,12.74,19.50%,0,A
 36 months,1069453,11000,RENT,5,70000,Fully Paid,debt_consolidation,10.85,36.40%,0,A
 36 months,1069248,15000,MORTGAGE,8,80000,Charged Off,debt_consolidation,9.12,63.70%,24.17,A
 36 months,1068120,25600,RENT,9,110000,Fully Paid,credit_card,15.71,62%,0,A
 36 months,1069244,7000,RENT,1,40000,Fully Paid,debt_consolidation,7.38,92.90%,0,A
 36 months,1069243,12000,RENT,4,50000,Charged Off,car,20.88,90.80%,0,A
 36 months,1069238,12000,RENT,1,46000,Fully Paid,credit_card,8.11,52.10%,0,A
 60 months,1069410,21000,RENT,7,50000,Charged Off,debt_consolidation,21.58,97.60%,0,B
 60 months,1068409,16000,RENT,7,81000,Fully Paid,credit_card,20.52,75.10%,0,A
 36 months,1068487,10000,OWN,1,39000,Fully Paid,debt_consolidation,18.58,72.70%,0,A
 36 months,1043961,10000,RENT,2,51400,Fully Paid,credit_card,19.14,59.10%,0,A
 36 months,1068945,7100,MORTGAGE,1,33000,Fully Paid,debt_consolidation,24,91.20%,0,A
 60 months,1069142,13000,MORTGAGE,1,30000,Fully Paid,debt_consolidation,13.72,58.90%,0,A
 60 months,1068934,17500,RENT,6,40000,Fully Paid,small_business,19.47,58.90%,0,A
 60 months,1069136,17675,RENT,1,50000,Fully Paid,debt_consolidation,16.46,57.40%,0,A
